"day","no_purchase","year","week"
2016-09-04,1,"2016","35"
2016-09-05,1,"2016","36"
2016-09-15,1,"2016","37"
2016-10-02,1,"2016","39"
2016-10-03,8,"2016","40"
2016-10-04,60,"2016","40"
2016-10-05,42,"2016","40"
2016-10-06,49,"2016","40"
2016-10-07,45,"2016","40"
2016-10-08,41,"2016","40"
2016-10-09,26,"2016","40"
2016-10-10,39,"2016","41"
2016-12-23,1,"2016","51"
2017-01-05,32,"2017","01"
2017-01-06,4,"2017","01"
2017-01-07,4,"2017","01"
2017-01-08,6,"2017","01"
2017-01-09,5,"2017","02"
2017-01-10,6,"2017","02"
2017-01-11,12,"2017","02"
2017-01-12,13,"2017","02"
2017-01-13,11,"2017","02"
2017-01-14,18,"2017","02"
2017-01-15,15,"2017","02"
2017-01-16,19,"2017","03"
2017-01-17,33,"2017","03"
2017-01-18,33,"2017","03"
2017-01-19,29,"2017","03"
2017-01-20,28,"2017","03"
2017-01-21,25,"2017","03"
2017-01-22,30,"2017","03"
2017-01-23,39,"2017","04"
2017-01-24,40,"2017","04"
2017-01-25,62,"2017","04"
2017-01-26,88,"2017","04"
2017-01-27,61,"2017","04"
2017-01-28,29,"2017","04"
2017-01-29,35,"2017","04"
2017-01-30,51,"2017","05"
2017-01-31,68,"2017","05"
2017-02-01,67,"2017","05"
2017-02-02,68,"2017","05"
2017-02-03,57,"2017","05"
2017-02-04,66,"2017","05"
2017-02-05,75,"2017","05"
2017-02-06,81,"2017","06"
2017-02-07,113,"2017","06"
2017-02-08,90,"2017","06"
2017-02-09,78,"2017","06"
2017-02-10,66,"2017","06"
2017-02-11,45,"2017","06"
2017-02-12,63,"2017","06"
2017-02-13,76,"2017","07"
2017-02-14,72,"2017","07"
2017-02-15,60,"2017","07"
2017-02-16,52,"2017","07"
2017-02-17,45,"2017","07"
2017-02-18,54,"2017","07"
2017-02-19,40,"2017","07"
2017-02-20,63,"2017","08"
2017-02-21,41,"2017","08"
2017-02-22,63,"2017","08"
2017-02-23,59,"2017","08"
2017-02-24,62,"2017","08"
2017-02-25,42,"2017","08"
2017-02-26,45,"2017","08"
2017-02-27,43,"2017","09"
2017-02-28,55,"2017","09"
2017-03-01,97,"2017","09"
2017-03-02,68,"2017","09"
2017-03-03,73,"2017","09"
2017-03-04,77,"2017","09"
2017-03-05,73,"2017","09"
2017-03-06,99,"2017","10"
2017-03-07,82,"2017","10"
2017-03-08,78,"2017","10"
2017-03-09,92,"2017","10"
2017-03-10,89,"2017","10"
2017-03-11,71,"2017","10"
2017-03-12,65,"2017","10"
2017-03-13,113,"2017","11"
2017-03-14,99,"2017","11"
2017-03-15,108,"2017","11"
2017-03-16,103,"2017","11"
2017-03-17,65,"2017","11"
2017-03-18,73,"2017","11"
2017-03-19,56,"2017","11"
2017-03-20,116,"2017","12"
2017-03-21,95,"2017","12"
2017-03-22,106,"2017","12"
2017-03-23,111,"2017","12"
2017-03-24,77,"2017","12"
2017-03-25,77,"2017","12"
2017-03-26,64,"2017","12"
2017-03-27,109,"2017","13"
2017-03-28,102,"2017","13"
2017-03-29,74,"2017","13"
2017-03-30,74,"2017","13"
2017-03-31,70,"2017","13"
2017-04-01,67,"2017","13"
2017-04-02,65,"2017","13"
2017-04-03,73,"2017","14"
2017-04-04,96,"2017","14"
2017-04-05,97,"2017","14"
2017-04-06,96,"2017","14"
2017-04-07,85,"2017","14"
2017-04-08,66,"2017","14"
2017-04-09,73,"2017","14"
2017-04-10,87,"2017","15"
2017-04-11,77,"2017","15"
2017-04-12,63,"2017","15"
2017-04-13,60,"2017","15"
2017-04-14,53,"2017","15"
2017-04-15,52,"2017","15"
2017-04-16,50,"2017","15"
2017-04-17,65,"2017","16"
2017-04-18,71,"2017","16"
2017-04-19,98,"2017","16"
2017-04-20,97,"2017","16"
2017-04-21,68,"2017","16"
2017-04-22,84,"2017","16"
2017-04-23,86,"2017","16"
2017-04-24,115,"2017","17"
2017-04-25,111,"2017","17"
2017-04-26,125,"2017","17"
2017-04-27,79,"2017","17"
2017-04-28,98,"2017","17"
2017-04-29,73,"2017","17"
2017-04-30,68,"2017","17"
2017-05-01,120,"2017","18"
2017-05-02,125,"2017","18"
2017-05-03,102,"2017","18"
2017-05-04,109,"2017","18"
2017-05-05,110,"2017","18"
2017-05-06,110,"2017","18"
2017-05-07,111,"2017","18"
2017-05-08,122,"2017","19"
2017-05-09,126,"2017","19"
2017-05-10,117,"2017","19"
2017-05-11,126,"2017","19"
2017-05-12,115,"2017","19"
2017-05-13,74,"2017","19"
2017-05-14,112,"2017","19"
2017-05-15,156,"2017","20"
2017-05-16,155,"2017","20"
2017-05-17,142,"2017","20"
2017-05-18,125,"2017","20"
2017-05-19,149,"2017","20"
2017-05-20,72,"2017","20"
2017-05-21,150,"2017","20"
2017-05-22,150,"2017","21"
2017-05-23,125,"2017","21"
2017-05-24,144,"2017","21"
2017-05-25,105,"2017","21"
2017-05-26,78,"2017","21"
2017-05-27,82,"2017","21"
2017-05-28,98,"2017","21"
2017-05-29,159,"2017","22"
2017-05-30,102,"2017","22"
2017-05-31,126,"2017","22"
2017-06-01,125,"2017","22"
2017-06-02,127,"2017","22"
2017-06-03,89,"2017","22"
2017-06-04,101,"2017","22"
2017-06-05,149,"2017","23"
2017-06-06,135,"2017","23"
2017-06-07,125,"2017","23"
2017-06-08,140,"2017","23"
2017-06-09,107,"2017","23"
2017-06-10,76,"2017","23"
2017-06-11,116,"2017","23"
2017-06-12,125,"2017","24"
2017-06-13,126,"2017","24"
2017-06-14,133,"2017","24"
2017-06-15,111,"2017","24"
2017-06-16,98,"2017","24"
2017-06-17,74,"2017","24"
2017-06-18,92,"2017","24"
2017-06-19,158,"2017","25"
2017-06-20,92,"2017","25"
2017-06-21,35,"2017","25"
2017-06-22,89,"2017","25"
2017-06-23,107,"2017","25"
2017-06-24,76,"2017","25"
2017-06-25,106,"2017","25"
2017-06-26,74,"2017","26"
2017-06-27,140,"2017","26"
2017-06-28,120,"2017","26"
2017-06-29,110,"2017","26"
2017-06-30,93,"2017","26"
2017-07-01,81,"2017","26"
2017-07-02,106,"2017","26"
2017-07-03,117,"2017","27"
2017-07-04,124,"2017","27"
2017-07-05,141,"2017","27"
2017-07-06,150,"2017","27"
2017-07-07,117,"2017","27"
2017-07-08,83,"2017","27"
2017-07-09,90,"2017","27"
2017-07-10,143,"2017","28"
2017-07-11,162,"2017","28"
2017-07-12,149,"2017","28"
2017-07-13,139,"2017","28"
2017-07-14,150,"2017","28"
2017-07-15,98,"2017","28"
2017-07-16,112,"2017","28"
2017-07-17,166,"2017","29"
2017-07-18,194,"2017","29"
2017-07-19,150,"2017","29"
2017-07-20,143,"2017","29"
2017-07-21,118,"2017","29"
2017-07-22,91,"2017","29"
2017-07-23,105,"2017","29"
2017-07-24,165,"2017","30"
2017-07-25,151,"2017","30"
2017-07-26,128,"2017","30"
2017-07-27,124,"2017","30"
2017-07-28,132,"2017","30"
2017-07-29,115,"2017","30"
2017-07-30,118,"2017","30"
2017-07-31,149,"2017","31"
2017-08-01,166,"2017","31"
2017-08-02,155,"2017","31"
2017-08-03,147,"2017","31"
2017-08-04,142,"2017","31"
2017-08-05,116,"2017","31"
2017-08-06,110,"2017","31"
2017-08-07,159,"2017","32"
2017-08-08,146,"2017","32"
2017-08-09,142,"2017","32"
2017-08-10,160,"2017","32"
2017-08-11,139,"2017","32"
2017-08-12,98,"2017","32"
2017-08-13,92,"2017","32"
2017-08-14,158,"2017","33"
2017-08-15,196,"2017","33"
2017-08-16,175,"2017","33"
2017-08-17,157,"2017","33"
2017-08-18,148,"2017","33"
2017-08-19,108,"2017","33"
2017-08-20,104,"2017","33"
2017-08-21,180,"2017","34"
2017-08-22,137,"2017","34"
2017-08-23,111,"2017","34"
2017-08-24,127,"2017","34"
2017-08-25,125,"2017","34"
2017-08-26,93,"2017","34"
2017-08-27,120,"2017","34"
2017-08-28,157,"2017","35"
2017-08-29,138,"2017","35"
2017-08-30,181,"2017","35"
2017-08-31,148,"2017","35"
2017-09-01,160,"2017","35"
2017-09-02,104,"2017","35"
2017-09-03,126,"2017","35"
2017-09-04,150,"2017","36"
2017-09-05,154,"2017","36"
2017-09-06,140,"2017","36"
2017-09-07,98,"2017","36"
2017-09-08,117,"2017","36"
2017-09-09,108,"2017","36"
2017-09-10,135,"2017","36"
2017-09-11,180,"2017","37"
2017-09-12,205,"2017","37"
2017-09-13,205,"2017","37"
2017-09-14,166,"2017","37"
2017-09-15,151,"2017","37"
2017-09-16,129,"2017","37"
2017-09-17,126,"2017","37"
2017-09-18,183,"2017","38"
2017-09-19,154,"2017","38"
2017-09-20,161,"2017","38"
2017-09-21,150,"2017","38"
2017-09-22,141,"2017","38"
2017-09-23,86,"2017","38"
2017-09-24,114,"2017","38"
2017-09-25,135,"2017","39"
2017-09-26,180,"2017","39"
2017-09-27,144,"2017","39"
2017-09-28,142,"2017","39"
2017-09-29,117,"2017","39"
2017-09-30,109,"2017","39"
2017-10-01,130,"2017","39"
2017-10-02,142,"2017","40"
2017-10-03,200,"2017","40"
2017-10-04,158,"2017","40"
2017-10-05,140,"2017","40"
2017-10-06,126,"2017","40"
2017-10-07,103,"2017","40"
2017-10-08,128,"2017","40"
2017-10-09,192,"2017","41"
2017-10-10,180,"2017","41"
2017-10-11,159,"2017","41"
2017-10-12,140,"2017","41"
2017-10-13,152,"2017","41"
2017-10-14,117,"2017","41"
2017-10-15,120,"2017","41"
2017-10-16,195,"2017","42"
2017-10-17,199,"2017","42"
2017-10-18,176,"2017","42"
2017-10-19,176,"2017","42"
2017-10-20,121,"2017","42"
2017-10-21,112,"2017","42"
2017-10-22,159,"2017","42"
2017-10-23,160,"2017","43"
2017-10-24,164,"2017","43"
2017-10-25,156,"2017","43"
2017-10-26,143,"2017","43"
2017-10-27,131,"2017","43"
2017-10-28,87,"2017","43"
2017-10-29,131,"2017","43"
2017-10-30,146,"2017","44"
2017-10-31,157,"2017","44"
2017-11-01,109,"2017","44"
2017-11-02,121,"2017","44"
2017-11-03,138,"2017","44"
2017-11-04,113,"2017","44"
2017-11-05,145,"2017","44"
2017-11-06,190,"2017","45"
2017-11-07,158,"2017","45"
2017-11-08,174,"2017","45"
2017-11-09,188,"2017","45"
2017-11-10,164,"2017","45"
2017-11-11,155,"2017","45"
2017-11-12,173,"2017","45"
2017-11-13,204,"2017","46"
2017-11-14,190,"2017","46"
2017-11-15,186,"2017","46"
2017-11-16,224,"2017","46"
2017-11-17,190,"2017","46"
2017-11-18,148,"2017","46"
2017-11-19,160,"2017","46"
2017-11-20,228,"2017","47"
2017-11-21,227,"2017","47"
2017-11-22,200,"2017","47"
2017-11-23,281,"2017","47"
2017-11-24,1175,"2017","47"
2017-11-25,505,"2017","47"
2017-11-26,392,"2017","47"
2017-11-27,407,"2017","48"
2017-11-28,376,"2017","48"
2017-11-29,319,"2017","48"
2017-11-30,265,"2017","48"
2017-12-01,278,"2017","48"
2017-12-02,215,"2017","48"
2017-12-03,231,"2017","48"
2017-12-04,331,"2017","49"
2017-12-05,275,"2017","49"
2017-12-06,278,"2017","49"
2017-12-07,226,"2017","49"
2017-12-08,215,"2017","49"
2017-12-09,157,"2017","49"
2017-12-10,188,"2017","49"
2017-12-11,269,"2017","50"
2017-12-12,260,"2017","50"
2017-12-13,222,"2017","50"
2017-12-14,199,"2017","50"
2017-12-15,192,"2017","50"
2017-12-16,131,"2017","50"
2017-12-17,134,"2017","50"
2017-12-18,208,"2017","51"
2017-12-19,175,"2017","51"
2017-12-20,172,"2017","51"
2017-12-21,144,"2017","51"
2017-12-22,110,"2017","51"
2017-12-23,107,"2017","51"
2017-12-24,59,"2017","51"
2017-12-25,92,"2017","52"
2017-12-26,168,"2017","52"
2017-12-27,166,"2017","52"
2017-12-28,146,"2017","52"
2017-12-29,134,"2017","52"
2017-12-30,96,"2017","52"
2017-12-31,74,"2017","52"
2018-01-01,73,"2018","01"
2018-01-02,203,"2018","01"
2018-01-03,222,"2018","01"
2018-01-04,257,"2018","01"
2018-01-05,213,"2018","01"
2018-01-06,215,"2018","01"
2018-01-07,195,"2018","01"
2018-01-08,293,"2018","02"
2018-01-09,252,"2018","02"
2018-01-10,277,"2018","02"
2018-01-11,265,"2018","02"
2018-01-12,242,"2018","02"
2018-01-13,219,"2018","02"
2018-01-14,237,"2018","02"
2018-01-15,305,"2018","03"
2018-01-16,303,"2018","03"
2018-01-17,282,"2018","03"
2018-01-18,241,"2018","03"
2018-01-19,234,"2018","03"
2018-01-20,185,"2018","03"
2018-01-21,194,"2018","03"
2018-01-22,313,"2018","04"
2018-01-23,264,"2018","04"
2018-01-24,244,"2018","04"
2018-01-25,234,"2018","04"
2018-01-26,229,"2018","04"
2018-01-27,154,"2018","04"
2018-01-28,155,"2018","04"
2018-01-29,246,"2018","05"
2018-01-30,260,"2018","05"
2018-01-31,258,"2018","05"
2018-02-01,233,"2018","05"
2018-02-02,213,"2018","05"
2018-02-03,194,"2018","05"
2018-02-04,203,"2018","05"
2018-02-05,273,"2018","06"
2018-02-06,269,"2018","06"
2018-02-07,249,"2018","06"
2018-02-08,233,"2018","06"
2018-02-09,215,"2018","06"
2018-02-10,178,"2018","06"
2018-02-11,171,"2018","06"
2018-02-12,217,"2018","07"
2018-02-13,226,"2018","07"
2018-02-14,303,"2018","07"
2018-02-15,285,"2018","07"
2018-02-16,214,"2018","07"
2018-02-17,203,"2018","07"
2018-02-18,203,"2018","07"
2018-02-19,260,"2018","08"
2018-02-20,290,"2018","08"
2018-02-21,269,"2018","08"
2018-02-22,283,"2018","08"
2018-02-23,243,"2018","08"
2018-02-24,194,"2018","08"
2018-02-25,242,"2018","08"
2018-02-26,297,"2018","09"
2018-02-27,307,"2018","09"
2018-02-28,315,"2018","09"
2018-03-01,278,"2018","09"
2018-03-02,270,"2018","09"
2018-03-03,215,"2018","09"
2018-03-04,239,"2018","09"
2018-03-05,263,"2018","10"
2018-03-06,272,"2018","10"
2018-03-07,259,"2018","10"
2018-03-08,237,"2018","10"
2018-03-09,204,"2018","10"
2018-03-10,192,"2018","10"
2018-03-11,218,"2018","10"
2018-03-12,234,"2018","11"
2018-03-13,227,"2018","11"
2018-03-14,200,"2018","11"
2018-03-15,288,"2018","11"
2018-03-16,254,"2018","11"
2018-03-17,180,"2018","11"
2018-03-18,217,"2018","11"
2018-03-19,303,"2018","12"
2018-03-20,300,"2018","12"
2018-03-21,286,"2018","12"
2018-03-22,254,"2018","12"
2018-03-23,219,"2018","12"
2018-03-24,165,"2018","12"
2018-03-25,190,"2018","12"
2018-03-26,271,"2018","13"
2018-03-27,245,"2018","13"
2018-03-28,219,"2018","13"
2018-03-29,194,"2018","13"
2018-03-30,165,"2018","13"
2018-03-31,169,"2018","13"
2018-04-01,207,"2018","13"
2018-04-02,281,"2018","14"
2018-04-03,246,"2018","14"
2018-04-04,258,"2018","14"
2018-04-05,266,"2018","14"
2018-04-06,189,"2018","14"
2018-04-07,165,"2018","14"
2018-04-08,185,"2018","14"
2018-04-09,254,"2018","15"
2018-04-10,202,"2018","15"
2018-04-11,274,"2018","15"
2018-04-12,257,"2018","15"
2018-04-13,202,"2018","15"
2018-04-14,147,"2018","15"
2018-04-15,223,"2018","15"
2018-04-16,280,"2018","16"
2018-04-17,266,"2018","16"
2018-04-18,280,"2018","16"
2018-04-19,294,"2018","16"
2018-04-20,196,"2018","16"
2018-04-21,156,"2018","16"
2018-04-22,200,"2018","16"
2018-04-23,286,"2018","17"
2018-04-24,271,"2018","17"
2018-04-25,284,"2018","17"
2018-04-26,254,"2018","17"
2018-04-27,242,"2018","17"
2018-04-28,169,"2018","17"
2018-04-29,172,"2018","17"
2018-04-30,240,"2018","18"
2018-05-01,255,"2018","18"
2018-05-02,296,"2018","18"
2018-05-03,304,"2018","18"
2018-05-04,265,"2018","18"
2018-05-05,197,"2018","18"
2018-05-06,210,"2018","18"
2018-05-07,372,"2018","19"
2018-05-08,328,"2018","19"
2018-05-09,343,"2018","19"
2018-05-10,279,"2018","19"
2018-05-11,246,"2018","19"
2018-05-12,204,"2018","19"
2018-05-13,206,"2018","19"
2018-05-14,364,"2018","20"
2018-05-15,352,"2018","20"
2018-05-16,358,"2018","20"
2018-05-17,228,"2018","20"
2018-05-18,238,"2018","20"
2018-05-19,139,"2018","20"
2018-05-20,161,"2018","20"
2018-05-21,204,"2018","21"
2018-05-22,199,"2018","21"
2018-05-23,132,"2018","21"
2018-05-24,114,"2018","21"
2018-05-25,103,"2018","21"
